year,credits_actual,credits_gwp20,credits_gwp100,credits_gtp50,credits_gtp100
2004,0.0,0.0,0.0,0.0,0.0
2005,145318.0,145318.0,145318.0,145318.0,145318.0
2006,323056.0,232921.0,232921.0,232921.0,232921.0
2007,2382582.0,2336482.0,2336482.0,2336482.0,2336482.0
2008,1007568.0,978177.0,978177.0,978177.0,978177.0
2009,1352528.0,727907.0,727907.0,727907.0,727907.0
2010,2245862.0,1083941.0,1083941.0,1083941.0,1083941.0
2011,4570438.0,1958169.0,1958169.0,1958169.0,1958169.0
2012,4488422.0,1265405.0,1265405.0,1265405.0,1265405.0
2013,7275814.0,10257144.065443425,7661828.019266056,6960020.691131499,6228398.831987768
2014,11671118.0,17002553.13761468,12322934.296854522,10950513.676277852,10035943.822804717
2015,13589689.0,17510956.80733945,14079507.7129751,13101844.710353866,12322678.130930537
2016,34441526.0,39705989.17798165,35096003.98964614,33773921.72608126,32759822.29006553
2017,27484801.0,31973697.22568807,28052638.366841417,26955155.629095674,25990403.225399736
2018,20356762.0,24630993.24097859,20896157.16173001,19847229.89471385,18941787.170790736
2019,19121179.0,22227933.371865444,19513546.843119267,18752056.56269113,18090810.84905199
2020,6922140.0,9452500.152293578,7233010.737090432,6586254.525557012,6136725.316094364
2021,5483191.0,7446369.874275229,5599838.746165138,5051479.714495413,4716374.428902753
2022,2697475.0,5088985.345394495,2830712.0680366973,2138461.6921100914,1810387.413533945
2023,1421450.0,3827641.0671559637,1551603.912293578,844428.656880734,549623.5978715597
2024,265894.0,470316.95552293584,280787.49251376145,231205.2895412844,171464.77747522935
2025,7000.0,0.0,0.0,0.0,0.0
