year,co2_justified,ch4_justified,n2o_justified,offsets_used,offsets_used_corrected
2013,6365696.708551103,735.5793636208635,17.627443629668416,6399143.5,6386608.382467544
2014,6365011.996314205,749.4824060233392,18.508035225791325,6399023.5,6386488.617532455
2015,20684240.716357894,1985.621284780102,578.119043792349,20905155.666666668,20905155.666666668
2016,20686165.21750702,1964.7187404743363,577.1995350353967,20906356.166666668,20906356.166666668
2017,20686975.71596089,1919.5001296719581,577.6482201183182,20906356.166666668,20906356.166666668
2018,20909513.742118403,1844.6441001389524,544.8545117482388,21117156.166666664,21117156.166666664
2019,20912195.270440917,1843.3106011533064,545.3737864217223,21119970.666666664,21119970.666666664
2020,20915215.579765715,1422.2269676349852,557.6252276866423,21117946.166666664,21117946.166666664
2021,8638151.436692672,594.8914524029115,199.7112203486791,8712537.666666666,8712537.666666666
2022,8677238.660946205,618.4613697712177,200.2918505912046,8752387.166666666,8752387.166666666
2023,8669051.090610204,698.741577773145,201.80717090578565,8746658.166666666,8746658.166666666
2024,2175685.574725953,166.29078811986284,54.86293765298546,2196192.0,2196192.0
