report_year,total_covered_co2e,covered_co2,covered_ch4,covered_n2o
2013,348502683.4398189,345667052.2840184,27976.346403281375,7252.025423650318
2014,342944391.5621975,340036762.1998962,29419.607779649356,7386.508383640768
2015,340426790.6936051,337477031.46143025,30077.178879364976,7477.866050671798
2016,324065926.8556306,321146298.45426226,27774.388601774783,7536.665292680932
2017,320583400.53390384,317658815.2237892,27313.851208911332,7583.853015249882
2018,319901542.59003335,317001294.77232134,27299.772332785047,7506.298705559698
2019,311164103.0,308356019.88661945,26594.21289689334,7256.789169502588
2020,278604186.0,276252622.97711545,19188.68597371025,6285.80844345697
2021,292218803.0,289754759.8928655,18043.906727746456,6754.850466242646
2022,281651431.0,279248575.3403907,18213.10827629061,6535.328700342321
2023,272263270.0,269887741.2475858,19990.63666450744,6294.506202654679
2024,256558934.0,254280643.17893893,19528.095366072645,6007.0081776250545
