year,co2_flux,ch4_flux,n2o_flux
2013,14122758.003065445,1143.0165746281064,296.29263018720985
2014,13892723.859459005,1201.9832334951727,301.7871379423792
2015,21548620.33069173,1920.491316055116,477.4775210979416
2016,20505868.58024089,1773.4532993399828,481.2319767309677
2017,20283185.419500493,1744.0470153510373,484.2450123544736
2018,22014022.0806097,1895.821250071505,521.2717682005863
2019,21413654.588850804,1846.8239707005857,503.94468302249925
2020,19184247.642939158,1332.5502567001702,436.51533337783326
2021,8949234.1534787,557.2959229723726,208.62724918303806
2022,8624744.900378866,562.5218052930383,201.84719944182407
2023,8335630.422330769,617.4217412474629,194.4092649553323
2024,7189195.773492704,552.1116311293017,169.83423221691396
